users_id,date,cds,amt
1,1997-01-01,1,11.77
2,1997-01-12,1,12
2,1997-01-12,5,77
3,1997-01-02,2,20.76
3,1997-03-30,2,20.76
3,1997-04-02,2,19.54
3,1997-11-15,5,57.45
3,1997-11-25,4,20.96
3,1998-05-28,1,16.99
4,1997-01-01,2,29.33
4,1997-01-18,2,29.73
4,1997-08-02,1,14.96
4,1997-12-12,2,26.48
5,1997-01-01,2,29.33
5,1997-01-14,1,13.97
5,1997-02-04,3,38.9
5,1997-04-11,3,45.55
5,1997-05-31,3,38.71
5,1997-06-16,2,26.14
5,1997-07-22,2,28.14
5,1997-09-15,3,40.47
5,1997-12-08,4,46.46
5,1997-12-12,3,40.47
5,1998-01-03,3,37.47
6,1997-01-01,1,20.99
7,1997-01-01,2,28.74
7,1997-10-11,7,97.43
7,1998-03-22,9,138.5
8,1997-01-01,1,9.77
8,1997-02-13,1,13.97
8,1997-06-17,3,45.29
8,1997-07-03,2,36.76
8,1997-11-16,1,2.99
8,1997-11-16,7,50.43
8,1997-12-25,1,13.99
8,1998-03-29,2,24.46
9,1997-01-01,2,23.54
9,1997-05-13,2,30.33
9,1998-06-08,2,41.98
10,1997-01-21,3,39.31
11,1997-01-01,1,13.49
11,1997-01-28,1,19.3
11,1997-03-17,1,12.77
11,1998-02-20,1,12.99
12,1997-01-01,4,57.06
13,1997-01-01,4,72.94
14,1997-01-01,2,29.92
15,1997-01-01,4,52.87
16,1997-01-01,1,9.77
16,1997-07-13,2,31.6
16,1997-07-26,4,28.51
16,1997-09-10,1,9.99
17,1997-01-01,5,73.22
18,1997-01-04,1,14.96
19,1997-01-01,10,163.35
19,1997-06-10,1,11.77
20,1997-01-01,27,363.6
20,1997-01-18,19,289.41
21,1997-01-01,3,63.34
21,1997-01-13,1,11.77
22,1997-01-01,1,14.37
23,1997-01-01,2,24.74
24,1997-01-01,3,47.28
24,1998-01-20,1,10.49
25,1997-01-01,2,24.96
25,1997-07-18,1,13.9
25,1997-08-17,1,12.25
25,1997-10-24,1,12.99
25,1998-04-17,1,12.99
25,1998-05-25,1,10.49
25,1998-06-03,3,24.97
25,1998-06-08,2,24.98
26,1997-01-01,3,42.72
26,1997-01-26,3,59.97
27,1997-01-07,6,83.41
27,1997-01-12,4,52.46
28,1997-01-01,3,39.51
28,1997-01-27,2,25.74
28,1997-03-08,2,25.74
29,1997-01-01,3,46.72
29,1997-02-06,3,67.31
29,1997-03-09,3,41.1
29,1997-04-05,3,44.52
29,1997-04-20,1,13.97
29,1997-05-04,2,26.14
29,1997-05-30,1,32.45
29,1997-07-13,2,37.65
29,1997-07-13,2,26.74
29,1997-09-06,1,14.79
29,1997-11-02,3,35.97
29,1998-04-26,4,48.45
30,1997-01-01,1,14.37
30,1997-02-14,1,13.97
31,1997-01-01,4,59.06
31,1998-04-07,4,42.89
31,1998-04-09,3,38.06
31,1998-05-25,3,37.04
32,1997-01-01,3,49.97
32,1997-01-24,1,16.36
32,1998-03-11,1,11.88
33,1997-01-01,3,41.69
33,1997-01-21,2,29.92
33,1997-02-16,5,73.42
33,1997-05-02,2,40.74
33,1997-05-14,3,54.25
33,1997-06-01,1,14.96
33,1997-06-04,2,30.13
33,1997-08-29,2,35.69
33,1997-09-06,1,11.77
33,1997-10-02,3,45.47
33,1997-10-03,2,34.98
33,1997-10-05,3,54.97
33,1997-10-13,5,69.45
33,1997-10-19,3,48.97
33,1997-10-31,4,54.46
33,1997-11-06,5,66.45
33,1997-11-09,3,67.47
33,1997-11-10,1,13.99
33,1997-11-18,1,14.49
33,1997-11-23,4,55.96
33,1997-11-25,3,36.97
33,1998-01-13,3,36.97
33,1998-02-27,3,34.47
33,1998-03-05,4,35.35
33,1998-03-13,2,42.48
34,1997-01-01,2,23.14
35,1997-01-01,2,26.73
35,1997-09-27,1,15.49
36,1997-01-01,3,37.91
36,1997-02-03,1,11.77
37,1997-01-29,2,31.26
37,1997-03-06,2,29.13
37,1997-06-28,1,13.97
37,1997-08-16,1,14.37
37,1997-11-02,3,39.47
37,1998-05-13,2,27.48
38,1997-01-01,1,12.49
39,1997-01-01,3,33.33
39,1997-03-13,4,50.68
39,1997-05-14,2,28.93
39,1998-03-05,4,49.55
39,1998-03-11,2,58.96
40,1997-01-01,2,28.34
40,1997-03-08,1,13.97
40,1997-05-03,1,15.96
40,1997-08-30,1,14.96
40,1997-09-14,3,44.47
40,1997-09-14,1,13.99
40,1997-09-14,1,22.99
40,1997-10-25,2,25.98
40,1997-12-13,1,16.99
40,1997-12-14,4,54.96
40,1998-02-15,1,12.58
40,1998-02-15,1,2.99
40,1998-02-25,3,36.34
40,1998-03-08,1,14.42
41,1997-01-01,1,17.99
42,1997-01-01,3,26.55
42,1997-01-02,1,11.77
43,1997-01-01,2,29.33
43,1997-02-16,2,25.74
43,1997-03-01,1,10.77
43,1997-11-28,1,36.99
43,1998-05-24,1,14.49
44,1997-01-01,2,30.32
44,1997-01-04,1,14.37
44,1997-06-19,1,14.96
45,1997-01-01,1,14.37
46,1997-01-01,3,41.53
46,1997-01-25,4,60.11
46,1997-03-16,3,45.09
46,1997-08-09,4,58.07
46,1997-08-24,4,57.11
46,1997-10-02,2,26.98
46,1997-11-12,2,26.98
47,1997-01-01,3,37.91
47,1997-01-05,2,25.74
47,1997-01-26,3,44.97
47,1997-02-16,1,15.37
47,1997-02-23,2,30.92
47,1997-03-09,1,17.96
47,1997-03-09,1,4.79
47,1997-03-16,2,27.94
47,1997-04-06,1,13.97
47,1997-04-07,1,14.79
47,1997-04-19,1,19.97
47,1997-04-23,1,41.77
47,1997-06-15,1,19.99
47,1997-06-22,1,4.79
47,1997-08-09,1,9.99
47,1997-11-01,1,19.49
47,1998-02-25,1,12.99
47,1998-03-18,1,14.49
47,1998-03-22,2,22.98
47,1998-04-14,1,13.99
47,1998-06-06,1,12.99
48,1997-01-01,4,52.72
48,1997-01-26,4,73.5
48,1997-02-10,3,37.93
48,1997-03-23,1,12.49
48,1997-03-25,4,46.5
48,1997-06-09,2,29.92
48,1997-07-30,3,42.85
48,1997-08-15,1,15.36
48,1997-08-24,1,24.37
48,1997-10-14,1,25.49
48,1997-10-17,2,25.98
48,1997-10-20,1,20.99
48,1997-11-03,2,41.98
48,1997-11-11,3,42.47
48,1997-11-24,2,16.98
48,1997-12-04,1,9.49
48,1998-01-09,3,40.47
48,1998-03-22,3,51.47
48,1998-06-08,1,9.49
48,1998-06-13,2,29.48
49,1997-01-01,2,27.94
50,1997-01-01,1,6.79
51,1997-01-27,5,71.42
51,1997-07-07,8,111.93
51,1997-09-01,7,104.6
51,1997-11-29,5,53.95
51,1997-11-29,1,13.99
51,1997-12-01,1,11.49
52,1997-01-02,3,80.95
52,1997-01-06,2,23.14
52,1997-01-19,2,33.98
52,1997-01-22,2,27.74
52,1997-01-29,3,38.33
52,1997-05-18,4,59.84
52,1997-06-21,7,104.72
52,1998-05-08,2,76.98
53,1997-01-01,1,19.99
53,1997-08-19,1,14.37
53,1997-12-10,1,11.49
53,1998-01-27,1,11.88
53,1998-02-09,1,14.49
53,1998-05-04,1,13.99
54,1997-01-01,2,33.96
55,1997-01-01,5,66.09
55,1997-01-10,1,15.36
56,1997-01-01,2,27.73
56,1997-01-17,1,15.96
56,1997-06-01,2,21.54
56,1997-12-17,4,63.96
57,1997-01-01,4,57.86
58,1997-01-01,1,20.99
59,1997-01-01,1,13.99
59,1997-01-09,1,11.77
59,1997-01-25,1,10.77
60,1997-02-01,2,21.75
61,1997-01-01,11,155.65
62,1997-01-01,3,32.91
